"","0 h","6 h","12 h","24 h","48 h"
"ENSG00000198744",0.443742371112275,0.995199416976523,0.178378252726534,0.180742795823049,0.135937956299527
"ENSG00000177757",0.253048000785843,0.537651705653383,0.991787275573984,0.695723670510803,0.155039637014087
"ENSG00000230699",0.336457129437416,0.119145214188277,0.405753239538486,0.753741662153584,0.996360071769445
"ENSG00000273443",0.12721896844824,0.473029293016259,0.402729495568843,0.524658843851015,0.993806623685727
"ENSG00000178821",0.719051921565129,0.572914265597207,0.325179964672543,0.0823726197871501,0.991248633764929
"ENSG00000197921",0,0.729192891873734,0.993316870146902,0.62905253830112,0.252327966407845
"ENSG00000287586",0.279827831972079,0.990918130696234,0.337460673000307,0.59838446125405,0.0857236677639407
"ENSG00000187017",0.16945464389744,0.144016278396841,0.398492679054914,0.34165577839893,0.996700189002759
"ENSG00000028137",0.270954844520296,0.164485262941616,0.339597229560938,0.493090113446999,0.999623118799082
"ENSG00000272482",0.993550821131285,0.140733323842549,0.299545193910899,0.72843815873651,0.486989845989284
"ENSG00000157330",0.332093677137212,0,0.0750920809476427,0.836962336602799,0.991916374031369
"ENSG00000234593",0.999073567537044,0.970392708764666,0.481936390818351,0.531925265811615,0.174891723287147
"ENSG00000232456",0.743148184596623,0.717713074488144,0.061104931284211,0.495319399089091,0.993422083885451
"ENSG00000142632",0.563993643299844,0.165285334092884,0.615655522618273,0.998106428074681,0.661315994736588
"ENSG00000186715",0.0898814901956412,0.85937139839581,0.325179964672543,0.823726197871501,0.991248633764929
"ENSG00000117115",0.805752353691703,0.999949254482243,0.672210269102106,0.373040291175528,0.135074165471469
"ENSG00000142623",0.353993189033098,0.998922913648848,0.190104349194402,0.182486208183651,0.0609996396761187
"ENSG00000230424",0.995155304771941,0.317161336192571,0.0900086786904226,0.136802721067568,0.182916106918854
"ENSG00000188257",0,0.520417117743608,0,0,0.990460644324937
"ENSG00000162543",0.757656730254154,0.0574926823674142,0.440535065787973,0.54556908052728,0.994730734951666
"ENSG00000162551",0.175490061659086,0.99430443429138,0.740717885824429,0.643317154355254,0.645124609750955
"ENSG00000076864",0.223258231820085,0.300426296797797,0.161544059356573,0.354651812814838,0.998550821719133
"ENSG00000007968",0.999632717544933,0.713317226132713,0.941666659390579,0.352620351580862,0.145604557853132
"ENSG00000020633",0.196494446365183,0.313119172780186,0.444307672443884,0.990434099058904,0.722339497924528
"ENSG00000261349",0.990357325363679,0,0.537448298933365,0.635334695348544,0.637119723332657
"ENSG00000176092",0.195949176517111,0.104083423548722,0.177229889487686,0.718316840529283,0.990460644324937
"ENSG00000142765",0.332428149270623,0.353155450561747,0.164002278192831,0.997057539094705,0.749894144108873
"ENSG00000130768",0.99595949147122,0.440857826124095,0.563008842857532,0.190157321638632,0.610213072456217
"ENSG00000169403",0.166509579870044,0.353783311256121,0.527109439153533,0.991893846486531,0.918166761563982
"ENSG00000182866",0.0979745882585557,0.104083423548722,0.443074723719216,0.448948025330802,0.990460644324937
"ENSG00000273274",0.995155304771941,0.211440890795048,0.855082447559015,0.136802721067568,0.0914580534594269
"ENSG00000160097",0.991226241012139,0,0.570521045730886,0.908417318139865,0.910969595460786
"ENSG00000284154",0.499528739610131,0.176891655628061,0.527109439153533,0.991893846486531,0.306055587187994
"ENSG00000092853",0.779094935377831,0.820598332991375,0.999783883035262,0.41294471946605,0.15095450413512
"ENSG00000134690",0.905662714081625,0.966252370097217,0.999811176865601,0.620279815496976,0.181794554842096
"ENSG00000158315",0.956931167587553,0.15248954926987,0.995341390596059,0.613891124201566,0.923423856916328
"ENSG00000259943",0.141275370636341,0.450252187847114,0.425930484803105,0.776837747041298,0.995414879060035
"ENSG00000117016",0.142773035497735,0.0910050652266952,0.10330698909929,0.47104381776413,0.997219763225078
"ENSG00000117013",0.99195150296336,0.0878167409341051,0.149531508094897,0.454540995165073,0.379848389627204
"ENSG00000117399",0.861455359290373,0.987383718011088,0.999939830611448,0.698872219563224,0.171517342013608
"ENSG00000230615",0.180950654477136,0.264320579712786,0.184122220868431,0.476771867694694,0.997797703614562
"ENSG00000142945",0.773570937575391,0.719254126046404,0.999871249218461,0.699250372983763,0.182291588634262
"ENSG00000085999",0.999500938359837,0.854902070620313,0.746393751202068,0.403979809813773,0.131897850378181
