ENSG00000230699	AL645608.3
ENSG00000273443	AL645608.9
ENSG00000187017	ESPN
ENSG00000028137	TNFRSF1B
ENSG00000157330	C1orf158
ENSG00000162543	UBXN10
ENSG00000076864	RAP1GAP
ENSG00000176092	CRYBG2
ENSG00000182866	LCK
ENSG00000259943	AL050341.2
ENSG00000117016	RIMS3
ENSG00000230615	AL139220.2
ENSG00000085831	TTC39A
ENSG00000228175	GEMIN8P4
ENSG00000224616	RTCA-AS1
ENSG00000244716	BX679664.3
ENSG00000163216	SPRR2D
ENSG00000143546	S100A8
ENSG00000027869	SH2D2A
ENSG00000162723	SLAMF9
ENSG00000116701	NCF2
ENSG00000133056	PIK3C2B
ENSG00000162814	SPATA17
ENSG00000215817	ZC3H11B
ENSG00000162913	OBSCN-AS1
ENSG00000116574	RHOU
ENSG00000286747	
ENSG00000225649	AC064875.1
ENSG00000197872	FAM49A
ENSG00000239322	ATP6V1B1-AS1
ENSG00000066032	CTNNA2
ENSG00000152292	SH2D6
ENSG00000273445	AC133644.2
ENSG00000115604	IL18R1
ENSG00000286873	
ENSG00000204334	ERICH2
ENSG00000226853	AC010894.2
ENSG00000064989	CALCRL
ENSG00000204253	HNRNPCP2
ENSG00000183671	GPR1
ENSG00000138413	IDH1
ENSG00000229127	AC007038.1
ENSG00000227744	LINC01940
ENSG00000178623	GPR35
ENSG00000130294	KIF1A
ENSG00000204099	NEU4
ENSG00000233806	LINC01237
ENSG00000134115	CNTN6
ENSG00000227398	KIF9-AS1
ENSG00000224424	PRKAR2A-AS1
ENSG00000164076	CAMKV
ENSG00000001617	SEMA3F
ENSG00000007402	CACNA2D2
ENSG00000273356	LINC02019
ENSG00000121577	POPDC2
ENSG00000163884	KLF15
ENSG00000174564	IL20RB
ENSG00000248932	AC097103.2
ENSG00000181804	SLC9A9
ENSG00000174899	PQLC2L
ENSG00000233058	LINC00884
ENSG00000176945	MUC20
ENSG00000145113	MUC4
ENSG00000159674	SPON2
ENSG00000185818	NAT8L
ENSG00000170891	CYTL1
ENSG00000251580	LINC02482
ENSG00000163995	ABLIM2
ENSG00000287778	
ENSG00000169435	RASSF6
ENSG00000174599	TRAM1L1
ENSG00000224786	CETN4P
ENSG00000145423	SFRP2
ENSG00000185149	NPY2R
ENSG00000250486	FAM218A
ENSG00000164303	ENPP6
ENSG00000206077	ZDHHC11B
ENSG00000145506	NKD2
ENSG00000112902	SEMA5A
ENSG00000286134	
ENSG00000113389	NPR3
ENSG00000197822	OCLN
ENSG00000175426	PCSK1
ENSG00000186952	TMEM232
ENSG00000145777	TSLP
ENSG00000270021	AC026691.1
ENSG00000182700	IGIP
ENSG00000271795	AC011337.1
ENSG00000229119	AC026403.1
ENSG00000160867	FGFR4
ENSG00000180573	HIST1H2AC
ENSG00000274290	HIST1H2BE
ENSG00000276966	HIST1H4E
ENSG00000124772	CPNE5
ENSG00000164530	PI16
ENSG00000231881	AL109615.2
ENSG00000178233	TMEM151B
ENSG00000220773	RPSAP44
ENSG00000135298	ADGRB3
ENSG00000185250	PPIL6
ENSG00000146352	CLVS2
ENSG00000236548	RNF217-AS1
ENSG00000111981	ULBP1
ENSG00000185345	PRKN
ENSG00000239857	GET4
ENSG00000259826	AC072061.1
ENSG00000058404	CAMK2B
ENSG00000009950	MLXIPL
ENSG00000231170	AC002451.1
ENSG00000004799	PDK4
ENSG00000226744	AC005326.1
ENSG00000244219	TMEM225B
ENSG00000105808	RASA4
ENSG00000164604	GPR85
ENSG00000135253	KCP
ENSG00000232053	AC078845.1
ENSG00000170356	OR2A20P
ENSG00000196511	TPK1
ENSG00000181444	ZNF467
ENSG00000055118	KCNH2
ENSG00000261455	LINC01003
ENSG00000164690	SHH
ENSG00000182648	LINC01006
ENSG00000008056	SYN1
ENSG00000125931	CITED1
ENSG00000133134	BEX2
ENSG00000196972	SMIM10L2B
ENSG00000287796	
ENSG00000219507	FTH1P8
ENSG00000180190	TDRP
ENSG00000248538	AC022784.1
ENSG00000253775	AC100802.1
ENSG00000036565	SLC18A1
ENSG00000158806	NPM2
ENSG00000168481	LGI3
ENSG00000253930	TNFRSF10A-AS1
ENSG00000159167	STC1
ENSG00000254034	INTS9-AS1
ENSG00000251191	LINC00589
ENSG00000172733	PURG
ENSG00000253802	AC105999.2
ENSG00000104435	STMN2
ENSG00000253500	AF121898.1
ENSG00000104413	ESRP1
ENSG00000104490	NCALD
ENSG00000232850	PTGES2-AS1
ENSG00000148346	LCN2
ENSG00000050555	LAMC3
ENSG00000174672	BRSK2
ENSG00000244242	IFITM10
ENSG00000229512	AC068580.1
ENSG00000285644	
ENSG00000167332	OR51E2
ENSG00000175518	UBQLNL
ENSG00000186104	CYP2R1
ENSG00000197149	AC107956.1
ENSG00000187486	KCNJ11
ENSG00000179826	MRGPRX3
ENSG00000279837	AC112694.2
ENSG00000110786	PTPN5
ENSG00000186907	RTN4RL2
ENSG00000162148	PPP1R32
ENSG00000011347	SYT7
ENSG00000243742	RPLP0P2
ENSG00000167994	RAB3IL1
ENSG00000167996	FTH1
ENSG00000167771	RCOR2
ENSG00000179292	TMEM151A
ENSG00000173227	SYT12
ENSG00000172508	CARNS1
ENSG00000287725	
ENSG00000162105	SHANK2
ENSG00000248671	ALG1L9P
ENSG00000166670	MMP10
ENSG00000285813	
ENSG00000172350	ABCG4
ENSG00000254607	AP001783.1
ENSG00000187134	AKR1C1
ENSG00000151632	AKR1C2
ENSG00000108176	DNAJC12
ENSG00000107731	UNC5B
ENSG00000107742	SPOCK2
ENSG00000168209	DDIT4
ENSG00000156042	CFAP70
ENSG00000224596	ZMIZ1-AS1
ENSG00000173269	MMRN2
ENSG00000214562	NUTM2D
ENSG00000095596	CYP26A1
ENSG00000107807	TLX1
ENSG00000171798	KNDC1
ENSG00000151650	VENTX
ENSG00000130643	CALY
ENSG00000227081	AC005912.1
ENSG00000118971	CCND2
ENSG00000184574	LPAR5
ENSG00000275367	AC092111.1
ENSG00000231887	PRH1
ENSG00000182993	C12orf60
ENSG00000134548	SPX
ENSG00000139160	ETFBKMT
ENSG00000276900	AC023157.3
ENSG00000139549	DHH
ENSG00000135519	KCNH3
ENSG00000167588	GPD1
ENSG00000123364	HOXC13
ENSG00000185664	PMEL
ENSG00000065361	ERBB3
ENSG00000287200	
ENSG00000111087	GLI1
ENSG00000175197	DDIT3
ENSG00000139344	AMDHD1
ENSG00000183160	TMEM119
ENSG00000122986	HVCN1
ENSG00000111344	RASAL1
ENSG00000186710	CFAP73
ENSG00000158104	HPD
ENSG00000182870	GALNT9
ENSG00000279700	AC131212.2
ENSG00000233325	MIPEPP3
ENSG00000102683	SGCG
ENSG00000235205	TATDN2P3
ENSG00000122035	RASL11A
ENSG00000173988	LRRC63
ENSG00000126218	F10
ENSG00000139890	REM2
ENSG00000186648	CARMIL3
ENSG00000100968	NFATC4
ENSG00000258708	SLC25A21-AS1
ENSG00000258791	LINC00520
ENSG00000176153	GPX2
ENSG00000242071	RPL7AP6
ENSG00000089723	OTUB2
ENSG00000246223	LINC01550
ENSG00000185100	ADSSL1
ENSG00000137869	CYP19A1
ENSG00000259668	AC066613.1
ENSG00000259577	CERNA1
ENSG00000261652	C15orf65
ENSG00000171956	FOXB1
ENSG00000140465	CYP1A1
ENSG00000166819	PLIN1
ENSG00000262668	AJ003147.2
ENSG00000168124	OR1F1
ENSG00000260727	SLC7A5P1
ENSG00000150281	CTF1
ENSG00000140678	ITGAX
ENSG00000176723	ZNF843
ENSG00000261474	AC026471.4
ENSG00000280344	AC009166.2
ENSG00000102996	MMP15
ENSG00000176387	HSD11B2
ENSG00000183196	CHST6
ENSG00000168418	KCNG4
ENSG00000103175	WFDC1
ENSG00000129910	CDH15
ENSG00000260923	LINC02193
ENSG00000262089	AC040977.1
ENSG00000263563	AC138761.1
ENSG00000277363	SRCIN1
ENSG00000131771	PPP1R1B
ENSG00000073605	GSDMB
ENSG00000171401	KRT13
ENSG00000108309	RUNDC3A
ENSG00000278765	AC004477.3
ENSG00000173868	PHOSPHO1
ENSG00000006283	CACNA1G
ENSG00000273702	AC091271.1
ENSG00000159640	ACE
ENSG00000265100	AC005332.1
ENSG00000172794	RAB37
ENSG00000204282	TNRC6C-AS1
ENSG00000141527	CARD14
ENSG00000266554	LINC01443
ENSG00000270112	AC090241.2
ENSG00000166603	MC4R
ENSG00000265778	AC018413.1
ENSG00000277287	AL109976.1
ENSG00000149451	ADAM33
ENSG00000171864	PRND
ENSG00000226203	LINC01733
ENSG00000149633	KIAA1755
ENSG00000277829	AL031651.2
ENSG00000172216	CEBPB
ENSG00000130700	GATA5
ENSG00000174403	MIR1-1HG-AS1
ENSG00000232803	SLCO4A1-AS1
ENSG00000196415	PRTN3
ENSG00000176533	GNG7
ENSG00000105289	TJP3
ENSG00000007264	MATK
ENSG00000060566	CREB3L3
ENSG00000104833	TUBB4A
ENSG00000104883	PEX11G
ENSG00000260001	TGFBR3L
ENSG00000160951	PTGER1
ENSG00000186529	CYP4F3
ENSG00000171903	CYP4F11
ENSG00000105639	JAK3
ENSG00000130513	GDF15
ENSG00000006016	CRLF1
ENSG00000105696	TMEM59L
ENSG00000245848	CEBPA
ENSG00000171817	ZNF540
ENSG00000188505	NCCRP1
ENSG00000128011	LRFN1
ENSG00000105219	CNTD2
ENSG00000160460	SPTBN4
ENSG00000204936	CD177
ENSG00000268621	IGFL2-AS1
ENSG00000197380	DACT3
ENSG00000105516	DBP
ENSG00000104808	DHDH
ENSG00000104826	LHB
ENSG00000104888	SLC17A7
ENSG00000105472	CLEC11A
ENSG00000269388	AC018755.3
ENSG00000277977	AC010332.1
ENSG00000126583	PRKCG
ENSG00000167646	DNAAF3
ENSG00000080031	PTPRH
ENSG00000100385	IL2RB
ENSG00000184949	FAM227A
ENSG00000128268	MGAT3
ENSG00000205927	OLIG2
ENSG00000185437	SH3BGR
ENSG00000160181	TFF2
ENSG00000210127	MT-TA
