"","0 h","6 h","12 h","24 h","48 h"
"ENSG00000225972",0.0115994606478693,0.0314744817225417,0,0.0281124936638197,1
"ENSG00000229344",0.0174974914857689,0.0759655287676261,0.0558905336396172,0.0169627927869827,1
"ENSG00000198744",0.0292865814939111,0.0476804914605313,0.0428758349079332,0.0248426717057584,1
"ENSG00000272512",0.0575836559345643,1,0.245245155034212,0.0558239805019684,0
"ENSG00000169962",0.172750967803693,1,0.429179021309872,0.130255954504593,0.278895454578801
"ENSG00000162576",1,0.19454878310279,0.160714598648459,0.274370209884931,0.676235633901338
"ENSG00000179403",1,0.14752702816788,0.23775618416562,0.272949522714006,0.347965908706514
"ENSG00000231050",0.635293537021763,0,0.169104691524995,0.307939930594456,1
"ENSG00000269896",0.339440498140589,1,0.309783353727426,0.188038671164525,0.281831196205947
"ENSG00000215912",0.841175701797335,0.124499061035832,0.244262332202771,0.407735278472288,1
"ENSG00000130762",1,0.241194982560184,0.17745570267434,0.484720704130044,0.376701832098193
"ENSG00000196581",0.13161978499329,1,0.350350221477446,0.318994174296962,0.382485194850928
"ENSG00000116254",0.773641391433926,0.139948816436057,0.205930615102292,1,0.124899484088638
"ENSG00000237402",1,0.584433996203524,0.163805264007083,0.671151744180061,0.298049801220548
"ENSG00000049246",0.67538381036425,0.430839074289974,0.158111717110508,0.739183609331504,1
"ENSG00000236266",0.952940305532645,0.430958288200956,0.169104691524995,0.461909895891683,1
"ENSG00000284747",0.196480353380045,0.746393687658971,0.575298226317514,1,0.237903779216453
"ENSG00000162444",1,0.155053917360119,0.0760524440032884,0.346229074378603,0.0691901324261987
"ENSG00000116661",1,0.644442844027993,0.24954708188579,0.166622742044703,0.802173097816241
"ENSG00000162490",1,0.0775269586800593,0.228157332009865,0.484720704130044,0.968661853966781
"ENSG00000175147",0.26323956998658,1,0.420420265772935,0.127597669718785,0.509980259801237
"ENSG00000278480",0.25127413498719,1,0.535080338256463,0.568389619656405,0.162266446300394
"ENSG00000162461",0.230334623738257,1,0.613112887585531,0.223295922007874,0.111558181831521
"ENSG00000186510",1,0.347320774886666,0.085178737283683,0.116332968991211,0.968661853966781
"ENSG00000185519",1,0.140048699551075,0.103038795101229,0.531629159368436,0.656190288171046
"ENSG00000237276",0.563040191360184,1,0.544989233409361,0.148863948005249,0.297488484884055
"ENSG00000142623",0.325178292336363,1,0.721309279512389,0.183890759300602,0.314987807524293
"ENSG00000286064",0.209395112489325,1,0.267540169128232,0.0811985170937722,0.162266446300394
"ENSG00000188257",0.349473222223562,1,0.338269179357534,0.0615988750366548,0.123098683400299
"ENSG00000236810",1,0.141570968024456,0.115731980005004,0.337197011568727,0.673851724498631
"ENSG00000020633",0.375680610214093,0.655954101091007,1,0.617557097958976,0.0553772246679454
"ENSG00000229162",0.358604218840726,0.463358240942664,1,0.778064362346915,0.0165412489267889
"ENSG00000188672",1,0.0904481184600691,0.532367108023019,0.0807867840216741,0.322887284655594
"ENSG00000169442",0.0737070795962423,1,0.313913798443792,0.285818780170078,0.642575127349558
"ENSG00000225891",1,0.361792473840277,0,0.484720704130044,0.887940032802883
"ENSG00000241547",0.25127413498719,1,0.713440451008618,0.243595551281317,0.162266446300394
"ENSG00000270605",0.985426906857622,0.050931434060113,0.299776498612492,0.682366891658169,1
"ENSG00000200087",0.197429677489935,1,0.560560354363914,0.51039067887514,0.254990129900618
"ENSG00000279443",0.658098924966449,1,0.980980620136849,0.637988348593925,0.0637475324751546
"ENSG00000134668",0.138200774242954,1,0.662161918592373,0.281352861729921,0.187417745476955
"ENSG00000224409",1,0.83870073481155,0.145191029460823,0.0881310371145535,0.572391095525825
"ENSG00000160097",0.810481457692685,0.159941504498351,0.784497581342064,1,0.499597936354552
"ENSG00000092850",1,0.125235856329327,0.245707896010624,0.298289664080027,0.372562251525685
"ENSG00000286379",0.141744383838927,1,0.528220333919842,0.0687064375408842,0.137302377638795
"ENSG00000119535",1,0.0834905708862177,0.0819026320035414,0.149144832040014,0.149024900610274
"ENSG00000183682",0.460669247476514,1,0.840840531545871,0,0.509980259801237
"ENSG00000116983",1,0.192955986048148,0.212946843209208,0.420091276912705,0.301361465678554
"ENSG00000260920",0.235691242894961,1,0.536117315656185,0.135016138888482,0.238682621593021
"ENSG00000117016",1,0.187134038193247,0,0.234003098545539,0.501031993431094
"ENSG00000204060",0.817278664814456,0.186748591553748,0.228995936440098,0.542102586150656,1
"ENSG00000227533",1,0.178196293085509,0.206590221023858,0.303854769753162,0.506017386400557
"ENSG00000283973",1,0.289433979072221,0.0709822810697359,0.0646294272173392,0.258309827724475
"ENSG00000142959",0.16751608999146,1,0.178360112752154,0,0
"ENSG00000281912",1,0.0986706746837118,0.725955147304117,0.440655185572768,0.836571601153129
"ENSG00000225447",1,0.127691461355392,0.438419971313074,0.34215579115062,0.911681744909912
"ENSG00000132122",1,0.173660387443333,0.340714949134732,0.504109532295246,0.464957689904055
"ENSG00000224680",0.0837580449957298,1,0.445900281880386,0.487191102562633,0.811332231501968
"ENSG00000280378",1,0.723584947680553,0.496875967488151,0.129258854434678,0.129154913862238
"ENSG00000198711",1,0.482389965120369,0.591519008914466,0.107715712028899,0.591960021868589
"ENSG00000169174",1,0.542688710760415,0.387176078562196,0.13219655567183,0.880601685424347
