"","0 h","6 h","12 h","24 h","48 h"
"ENSG00000198744",0.445882868842901,1,0.179238703001312,0.18161465203844,0.136593685627867
"ENSG00000177757",0.255143423411432,0.542103855226641,1,0.701484771629241,0.156323478665685
"ENSG00000230699",0.337686283272973,0.119580478547967,0.407235547705063,0.756495250572424,1
"ENSG00000273443",0.128011793659035,0.475977198926223,0.405239295020234,0.527928503741718,1
"ENSG00000178821",0.725400164067868,0.577972312981842,0.328050857873523,0.0830998570704557,1
"ENSG00000197921",0,0.734098970619409,1,0.633284863276398,0.254025652831738
"ENSG00000287586",0.282392483600504,1,0.340553535702493,0.603868718027812,0.0865093342309822
"ENSG00000187017",0.170015663453406,0.14449307824546,0.399811983033356,0.34278691041563,1
"ENSG00000028137",0.271057000808278,0.16454727771725,0.339725265627029,0.493276019905765,1
"ENSG00000272482",1,0.141646829582714,0.301489553971511,0.733166480509864,0.4901509169252
"ENSG00000157330",0.334800075723631,0,0.0757040441246592,0.843783164100011,1
"ENSG00000234593",1,0.97129254571004,0.482383286354417,0.532418515608354,0.175053898901857
"ENSG00000232456",0.748068919194988,0.722465391227302,0.0615095358512856,0.498599142422734,1
"ENSG00000142632",0.565063631929284,0.165598907535055,0.61682352232302,1,0.662570619860898
"ENSG00000186715",0.0906750205084834,0.866958469472763,0.328050857873523,0.830998570704557,1
"ENSG00000117115",0.805793244087079,1,0.672244382491354,0.373059222258915,0.13508102022778
"ENSG00000142623",0.354374881381025,1,0.190309328774922,0.182682973521019,0.0610654123983404
"ENSG00000230424",1,0.318705366561107,0.0904468661914532,0.137468715095599,0.18380659384695
"ENSG00000188257",0,0.525429375438038,0,0,1
"ENSG00000162543",0.761670172271261,0.0577972312981842,0.442868658129256,0.548459056665007,1
"ENSG00000162551",0.176495302250315,1,0.744960859349203,0.647002197886941,0.648820006732367
"ENSG00000076864",0.223582242349685,0.300862299908356,0.161778505252696,0.355166512410715,1
"ENSG00000007968",1,0.71357931129405,0.942012644107211,0.352749910433991,0.145658055501357
"ENSG00000020633",0.198392246946959,0.31614336893056,0.448598925325833,1,0.729316063139268
"ENSG00000261349",1,0,0.542681197148719,0.641520670446131,0.643323078464325
"ENSG00000176092",0.197836408382146,0.105085875087608,0.178936831567376,0.725235116251249,1
"ENSG00000142765",0.333409192785861,0.354197663338869,0.164486272619472,1,0.75210719011237
"ENSG00000130768",1,0.442646342445982,0.565292913696583,0.19092877096611,0.6126886461565
"ENSG00000169403",0.167870362801273,0.356674570075504,0.53141718846291,1,0.92567038783061
"ENSG00000182866",0.0989182041910728,0.105085875087608,0.447342078918441,0.453271947657031,1
"ENSG00000273274",1,0.212470244374071,0.859245228818806,0.137468715095599,0.091903296923475
"ENSG00000160097",1,0,0.575570966672884,0.91645810063733,0.91903296923475
"ENSG00000284154",0.503611088403818,0.178337285037752,0.53141718846291,1,0.308556795943537
"ENSG00000092853",0.779263347407205,0.820775716547966,1,0.413033983116815,0.150987135016455
"ENSG00000134690",0.905833756450762,0.966434855355797,1,0.620396960795685,0.181828888342718
"ENSG00000158315",0.961410001260468,0.153203263433616,1,0.616764388582231,0.927745862515912
"ENSG00000259943",0.141926119056757,0.452326157985789,0.427892423313291,0.780416049009497,1
"ENSG00000117016",0.143171085013395,0.0912587862602908,0.103595007749534,0.472357082295222,1
"ENSG00000117013",1,0.0885292684891963,0.150744776985755,0.458229050318665,0.382930403847812
"ENSG00000117399",0.861507195651569,0.987443131860562,1,0.698914272807669,0.171527662728194
"ENSG00000230615",0.181350041016967,0.264903976783344,0.184528607553857,0.47782417815512,1
"ENSG00000142945",0.773670548263134,0.719346742501698,1,0.699340413608577,0.18231506184096
"ENSG00000085999",1,0.855328932480235,0.74676643368328,0.40418152130672,0.131963708402938
"ENSG00000186377",1,0.508081019155388,0.471896693172799,0.278922030628753,0.199789775920598
"ENSG00000123080",0.582885947007723,0.80332488391098,1,0.504002875643807,0.185583508027332
"ENSG00000085831",0.373062941520617,0.222932177864425,0.154652547283232,0.4273706935052,1
"ENSG00000085840",0.832008099575663,0.928375667894445,1,0.427307362291549,0.19244367638768
"ENSG00000173406",1,0.106235122187036,0.0904468661914532,0.183291620127466,0.55141978154085
"ENSG00000230798",0.840453820239596,1,0.152032828438613,0.308096284708067,0.587027625138808
"ENSG00000184588",0.121567178978827,0.74769339600125,1,0.940545296940132,0.697394500598243
"ENSG00000235927",0.268945222476671,1,0.364878788252671,0,0.123584763187117
"ENSG00000162614",1,0.937368725179726,0.448434042461827,0.331157128801724,0.108121525792323
"ENSG00000282057",0.215156177981337,1,0.0729757576505341,0.197181622213163,0
"ENSG00000142871",0.725028569731495,1,0.238965437911344,0.17568728088836,0.0914785388082188
"ENSG00000117228",0.6463323337037,1,0.824039045807898,0.312268421896822,0.190741066794006
"ENSG00000228175",0.791345633528583,0,0.0894684157836881,0.543926337188437,1
"ENSG00000224081",1,0.772619070451168,0.164448847620824,0.416571863926059,0.501290710491682
"ENSG00000224616",0.544050123050901,0.14449307824546,0.369057215107713,0.623248928028417,1
"ENSG00000244716",0.128011793659035,0.407980456222476,0.405239295020234,0.351952335827812,1
"ENSG00000134183",0.495980617367397,0.105381122976853,0.538318710390999,1,0.63815155524686
"ENSG00000155761",1,0.455293380801581,0.1938147132674,0.720074221929331,0.590806908793768
"ENSG00000263513",0.402044182345287,0.800835240675719,1,0.598742052552231,0.13855944699913
"ENSG00000281571",0.796491620411678,1,0.327455322790858,0.66359199783276,0.13309128343228
"ENSG00000275557",1,0.442646342445982,0.0753723884928777,0.458229050318665,0.765860807695625
"ENSG00000233030",0.167870362801273,0.267505927556628,0.341625335440442,1,0.539974392901189
"ENSG00000234614",0.60306627351793,0.106778032090096,1,0.184228323862225,0.369491858664346
"ENSG00000196407",0.21762004922036,0.0770629750642456,0.459271201022932,0.997198284845468,1
"ENSG00000163216",0.0989182041910728,0.315257625262823,0.238582442089835,0.332399428281823,1
"ENSG00000163220",0,0,0,0.0321676866079183,1
"ENSG00000143546",0.0334800075723631,0,0.0302816176498637,0.230122681118185,1
"ENSG00000160678",0.739599361810844,1,0.182439394126335,0.369715541649681,0.185377144780676
"ENSG00000232093",0.764812976418032,1,0.212845959814058,0.107833699647823,0.486615005049275
"ENSG00000027869",0.233164338450386,0.330269893132481,0.140593224802938,0.356142244587667,1
"ENSG00000198400",0,0.0312417466476671,0,0.161707829974941,1
"ENSG00000187800",0.193798763255248,1,0.175284908082165,0.0761179056337578,0.178107452828493
"ENSG00000162706",0.545578679104136,0.321997875762608,0.109657515079648,1,0.612828080832302
"ENSG00000085552",0.176495302250315,1,0.904595329209746,0.593085348063029,0.486615005049275
"ENSG00000162723",0,0.56045800046724,0.47716488417967,0.695016986407447,1
"ENSG00000224259",0.162844934790746,0.621221941844428,0.401694928008396,0.766553783588693,1
"ENSG00000227741",1,0.637410733122214,0.241191643177209,0.244388826836621,0.1225377292313
"ENSG00000162745",0.990850819650892,1,0.44809675750328,0.13621098902883,0.182124914170489
"ENSG00000215835",0,1,0.936522223181855,0.776402637464329,0.346037336923929
"ENSG00000143195",0.5412522602343,1,0.574684091497956,0.107833699647823,0.151391334904219
"ENSG00000116183",0.171146959757881,1,0.773985308414756,0.548971561843465,0.55051394510625
"ENSG00000116701",0.167663245468517,0.236277989583772,0.269249289009401,0.42961058183594,1
"ENSG00000066279",0.72269893265482,0.824237116001388,1,0.842379196531002,0.124623038044281
"ENSG00000116852",0.165326872455799,0.31614336893056,0.418692330304111,1,0.942033248221555
"ENSG00000163395",0.181859559701379,0.482996813643912,0.82243136309736,1,0.584972258976288
"ENSG00000081277",0.17902181986944,1,0.679017785909878,0.433981024349523,0.419278368358748
"ENSG00000133067",0.124703698080945,0.264958252056089,0.563952934695333,1,0.964607316842532
"ENSG00000228288",0.725400164067867,0.847692725706701,0.196830514724114,0.664798856563645,1
"ENSG00000230280",1,0.371822927654625,0.13567029928718,0.366583240254932,0.3676131876939
"ENSG00000143847",1,0.223142265780988,0.107379841140538,0.163204867236785,0.193038888515062
"ENSG00000236035",1,0.193154767612792,0.82224423810412,0.249943118355635,0.334193806994454
"ENSG00000133056",0.711450160912716,0.197597371959604,0.525722528643466,0.647752732036372,1
"ENSG00000186007",0,0.0722465391227302,0.307547679256428,0.0623248928028417,1
"ENSG00000162896",1,0.531175610935178,0,0.152743016772888,0.382930403847812
"ENSG00000182795",0.156884713111391,1,0.28379461308541,0.359445665492745,0.576728894873215
"ENSG00000196352",0.103221473411534,0.495749456786763,0.539098882435044,1,0.932520430006695
"ENSG00000203706",0.4230599005251,1,0.583532743759889,0.261708754201459,0.16524254853109
"ENSG00000082497",0.61962869884331,1,0.579513369577771,0.277890766599433,0.155086761646579
"ENSG00000143473",0.1832076515529,1,0.528543658598667,0.445809120691673,0.229336825645892
"ENSG00000234233",0.25967124928782,1,0.381654824494173,0.327219502379602,0.149154024536176
"ENSG00000274895",0.0941308278668347,1,0.170276767851246,0.345067838873035,0.0865093342309822
"ENSG00000162814",0.0906750205084834,0.288986156490921,0.410063572341904,0.332399428281823,1
"ENSG00000225920",0.874071973049179,1,0.182439394126335,0.739431083299361,0.679716197529146
"ENSG00000215817",0.136012530762725,0.14449307824546,0.246038143405142,0.415499285352278,1
"ENSG00000286174",0.694372864314355,0.105381122976853,0.538318710390999,1,0.729316063139268
"ENSG00000162913",0.768070761954213,0.543973941629969,0.115782655720067,0.351952335827812,1
"ENSG00000116574",0.256023587318071,0.19614445010696,0.516568771674145,0.818966012214717,1
"ENSG00000231663",0.197836408382146,0.630515250525645,0.268405247351064,0.0906543895314062,1
"ENSG00000168243",0.1214591327314,1,0.9612398185151,0.695701288050474,0.865093342309822
"ENSG00000174371",1,0.944312197218094,0.806616789134305,0.345681564275484,0.115550928880392
"ENSG00000286747",0.906750205084834,0,0.164025428936762,0.498599142422734,1
"ENSG00000223884",0.0921351251207949,0.293639588247764,1,0.422189908850932,0.254025652831738
"ENSG00000171848",0.585999757121873,0.859179701303954,1,0.329541382997015,0.109095363241918
"ENSG00000150873",1,0.531175610935178,0.839863757492066,0.523690343221331,0.196935636264589
"ENSG00000225649",0.474596915852913,0.159864682314126,0.3455003715902,0.562250096774572,1
"ENSG00000197872",0.0870480196881441,0.138713355115642,0.275562720613759,0.558431039513462,1
"ENSG00000115194",0.75330017037817,0.355675269527287,0.227112132373978,0.0767075603727283,1
"ENSG00000226833",0.545578679104136,0.193198725457565,0.575701954168152,1,0.584972258976288
"ENSG00000276334",0.694372864314355,0.105381122976853,0.538318710390999,1,0.455822539462043
"ENSG00000272054",1,0.0663969513668972,0.339175748217949,0.515507681608498,0.459516484617375
"ENSG00000234690",1,0,0.301489553971511,0.458229050318665,0.6126886461565
"ENSG00000236824",1,0.917373237257162,0.152634446053627,0.204424315611455,0.229056357864681
"ENSG00000115380",0.827775511911019,1,0.711106295204752,0.382376487400768,0.191911725733172
"ENSG00000055813",0.847177450801512,1,0.255415151776869,0.258800879154776,0.173018668461964
"ENSG00000231609",1,0.676041686644772,0.164448847620824,0.416571863926059,0.0835484517486136
"ENSG00000237638",1,0.48288691903198,0.082224423810412,0.499886236711271,0.91903296923475
"ENSG00000239322",0.197836408382146,0.315257625262823,0.402607871026596,0.634580726719843,1
"ENSG00000288065",1,0.0885292684891963,0.527606719450144,0.305486033545777,0.689274726926062
"ENSG00000135638",0.0906750205084834,0.096328718830307,0.0820127144683808,0.0830998570704557,1
"ENSG00000204792",1,0.556469687646377,0.215349681408222,0.130922585805333,0.0656452120881964
"ENSG00000230836",1,0.388166792606476,0.156542653023669,0.0528725827290767,0.0706948437872884
"ENSG00000066032",0.148507120202871,0.266989834868252,0.302220081663009,0.481586573258704,1
"ENSG00000152292",0,0.105085875087608,0,0.453271947657031,1
"ENSG00000273445",0.197836408382146,0,0,0.725235116251249,1
"ENSG00000287686",1,0.743645855309249,0.180893732382906,0.091645810063733,0.55141978154085
"ENSG00000233757",0.921351251207949,0.195759725498509,1,0.675503854161491,0.846752176105793
"ENSG00000121152",0.876307412260005,0.918765645006336,1,0.577931075227054,0.161071080610346
"ENSG00000222000",0.627538852445565,1,0.486505051003561,0.492954055532907,0.16477968424949
"ENSG00000273306",1,0.177058536978393,0.527606719450144,0.305486033545777,0.842446888465187
"ENSG00000115604",0.304668068908504,0.184951140154189,0.275562720613759,0.678094833694918,1
"ENSG00000180251",0.379532994159399,0.251998337553345,0.128728387267413,1,0.56680541863541
"ENSG00000169679",0.939079875866761,0.9051747074071,1,0.577033904575268,0.161944439511778
"ENSG00000227992",0.658915795067843,1,0.489545707572333,0.301934359013906,0.19464600201971
"ENSG00000286873",0.310885784600515,0.0825674732831202,0.351483062007346,0.641056040257801,1
"ENSG00000231890",1,0.594916684247399,0.325608718289232,0.146633296101973,0.25732923138573
"ENSG00000121966",0.0914750991809366,1,0.936789114667515,0.516520040946314,0.404071811925277
"ENSG00000144227",0.497529675652292,0.411095423546869,1,0.151988367186336,0.152415391699043
"ENSG00000115919",0.108061477503718,0.383597469386759,0.827199081144301,1,0.60556134469595
"ENSG00000123610",0.10881002461018,0.520175081683658,0.442868658129256,0.947338370603194,1
"ENSG00000153234",0.182819303389294,0.869358151032749,1,0.630292966284541,0.328033126491378
"ENSG00000184611",1,0.309852439712187,0.565292913696583,0.114557262579666,0.536102565386937
"ENSG00000163072",0.621912094565365,0.587279176495527,1,0.759941835931678,0.127012826415869
"ENSG00000152253",0.910209329100318,0.928720558178973,1,0.523122752176225,0.122877525090701
"ENSG00000144362",0.788058092039308,0.193198725457565,0.493458817858416,1,0.389981505984192
"ENSG00000239467",0.238021928834769,0.198677982587508,0.184528607553857,0.934873392042626,1
"ENSG00000204334",0.210600047632607,0.0372885363214091,0.222228000494967,0.611186045550448,1
"ENSG00000235934",1,0.442646342445982,0.452234330957266,0.381857541932221,0.0765860807695625
"ENSG00000226853",0.167400037861816,0.0889188173818218,0.378520220623296,0.690368043354555,1
"ENSG00000218175",0.0737081000966359,0.0783038901994036,1,0.607953468745342,0.474181218619244
"ENSG00000170396",0.941308278668347,1,0.403287081752952,0.295123809562464,0.0910624570852444
"ENSG00000188738",0.725400164067868,0,0.328050857873523,0.830998570704557,1
